Date,GRACE_GWS_km3,method
4/17/2002,0,JPL-m
5/10/2002,9.922290527,JPL-m
8/16/2002,11.56815373,JPL-m
9/16/2002,0.282073136,JPL-m
10/16/2002,-6.360226224,JPL-m
11/16/2002,-5.295677078,JPL-m
12/16/2002,-7.507201457,JPL-m
1/16/2003,-6.166383683,JPL-m
2/15/2003,-0.346832725,JPL-m
3/16/2003,-3.644027866,JPL-m
4/16/2003,-8.802888066,JPL-m
5/11/2003,3.12180947,JPL-m
7/16/2003,9.831659888,JPL-m
8/16/2003,6.143181463,JPL-m
9/16/2003,-0.026898072,JPL-m
10/16/2003,2.93457035,JPL-m
11/16/2003,-3.545833223,JPL-m
12/16/2003,-0.490173524,JPL-m
1/7/2004,-1.769978201,JPL-m
2/17/2004,-3.817748503,JPL-m
3/16/2004,-0.358235839,JPL-m
4/16/2004,0.794280463,JPL-m
5/16/2004,10.6726299,JPL-m
6/16/2004,0.344465859,JPL-m
7/16/2004,2.692021333,JPL-m
8/16/2004,0.307375595,JPL-m
9/16/2004,-5.893209092,JPL-m
10/16/2004,-5.188719547,JPL-m
11/16/2004,1.031448132,JPL-m
12/16/2004,-8.938914138,JPL-m
1/16/2005,1.175150364,JPL-m
2/15/2005,7.736483823,JPL-m
3/16/2005,15.72696955,JPL-m
4/16/2005,14.40309493,JPL-m
5/16/2005,8.959985268,JPL-m
6/16/2005,13.30967562,JPL-m
7/16/2005,20.01693661,JPL-m
8/16/2005,17.90625142,JPL-m
9/16/2005,11.73292457,JPL-m
10/16/2005,7.696596235,JPL-m
11/16/2005,4.639296018,JPL-m
12/16/2005,8.241515684,JPL-m
1/16/2006,14.30465654,JPL-m
2/15/2006,8.192458536,JPL-m
3/16/2006,4.508659782,JPL-m
4/16/2006,12.14065846,JPL-m
5/16/2006,13.75866164,JPL-m
6/16/2006,30.58068872,JPL-m
7/16/2006,28.07383488,JPL-m
8/16/2006,18.7276767,JPL-m
9/16/2006,12.82019689,JPL-m
10/16/2006,6.023488106,JPL-m
11/16/2006,-0.049680262,JPL-m
12/16/2006,9.340176876,JPL-m
1/16/2007,3.269462428,JPL-m
2/15/2007,-4.202028162,JPL-m
3/16/2007,4.66042302,JPL-m
4/16/2007,9.03776699,JPL-m
5/16/2007,-4.635483592,JPL-m
6/16/2007,0.815834198,JPL-m
7/16/2007,2.398143865,JPL-m
8/16/2007,0.255991038,JPL-m
9/16/2007,-5.491988264,JPL-m
10/16/2007,-6.237761847,JPL-m
11/16/2007,-4.285015342,JPL-m
12/16/2007,-3.294195977,JPL-m
1/16/2008,-16.01220454,JPL-m
2/15/2008,-8.583098411,JPL-m
3/16/2008,-1.917242951,JPL-m
4/16/2008,-9.886435256,JPL-m
5/16/2008,-12.23219078,JPL-m
6/16/2008,-4.773813605,JPL-m
7/16/2008,-4.681304046,JPL-m
8/16/2008,-2.346072407,JPL-m
9/16/2008,-8.691225174,JPL-m
10/16/2008,-11.90875512,JPL-m
11/16/2008,-17.33249686,JPL-m
12/16/2008,-19.10815147,JPL-m
1/16/2009,-15.05232858,JPL-m
2/15/2009,-16.87153033,JPL-m
3/16/2009,-20.76317084,JPL-m
4/16/2009,-21.34964671,JPL-m
5/16/2009,-19.82707053,JPL-m
6/16/2009,-16.65861944,JPL-m
7/16/2009,-7.016273587,JPL-m
8/16/2009,-12.31387782,JPL-m
9/16/2009,-15.29670127,JPL-m
10/16/2009,-25.5956866,JPL-m
11/16/2009,-25.21702537,JPL-m
12/16/2009,-23.00635764,JPL-m
1/16/2010,-17.10428874,JPL-m
2/15/2010,-16.15525678,JPL-m
3/16/2010,-21.16483104,JPL-m
4/16/2010,-19.49895539,JPL-m
5/16/2010,-12.41666447,JPL-m
6/16/2010,-11.45507029,JPL-m
7/16/2010,-6.006245615,JPL-m
8/16/2010,-9.622941212,JPL-m
9/16/2010,-15.65075858,JPL-m
10/16/2010,-17.21458897,JPL-m
11/16/2010,-8.684756635,JPL-m
12/14/2010,-8.57724318,JPL-m
2/18/2011,-21.86806914,JPL-m
3/16/2011,-3.987562738,JPL-m
4/16/2011,-4.986303022,JPL-m
5/16/2011,0.189275962,JPL-m
7/18/2011,8.127359891,JPL-m
8/16/2011,0.441632646,JPL-m
9/16/2011,-1.604135922,JPL-m
10/16/2011,-6.206403808,JPL-m
11/1/2011,-6.645268802,JPL-m
1/1/2012,-13.90873605,JPL-m
1/16/2012,-18.25184393,JPL-m
2/15/2012,-12.09621981,JPL-m
3/16/2012,-7.978008026,JPL-m
4/4/2012,-3.458892016,JPL-m
6/16/2012,-4.652862985,JPL-m
7/16/2012,-3.362981953,JPL-m
8/16/2012,-10.59679516,JPL-m
9/13/2012,-12.54584731,JPL-m
11/18/2012,-24.28204396,JPL-m
12/16/2012,-20.7236554,JPL-m
1/16/2013,-11.79330471,JPL-m
2/14/2013,-16.33161733,JPL-m
4/21/2013,-22.96871299,JPL-m
5/16/2013,-26.33774258,JPL-m
6/16/2013,-19.73864361,JPL-m
7/16/2013,-18.61038995,JPL-m
10/16/2013,-33.01815243,JPL-m
11/16/2013,-35.06151367,JPL-m
12/16/2013,-30.34415911,JPL-m
1/9/2014,-32.63036354,JPL-m
3/16/2014,-34.12584048,JPL-m
4/16/2014,-42.03883027,JPL-m
5/16/2014,-38.33885142,JPL-m
6/13/2014,-32.46883473,JPL-m
8/16/2014,-45.63865996,JPL-m
9/16/2014,-52.11492195,JPL-m
10/16/2014,-48.73398198,JPL-m
11/17/2014,-52.93829728,JPL-m
1/22/2015,-55.30396733,JPL-m
2/15/2015,-53.22209707,JPL-m
3/16/2015,-50.0399011,JPL-m
4/16/2015,-41.49990068,JPL-m
4/27/2015,-43.90627205,JPL-m
7/15/2015,-49.79308443,JPL-m
8/16/2015,-50.90683239,JPL-m
9/14/2015,-56.41604945,JPL-m
12/23/2015,-60.0531134,JPL-m
1/16/2016,-52.6491373,JPL-m
2/14/2016,-38.61866225,JPL-m
3/16/2016,-43.32100589,JPL-m
5/20/2016,-38.82292952,JPL-m
6/16/2016,-38.9799515,JPL-m
7/15/2016,-41.08371156,JPL-m
8/21/2016,-42.6015184,JPL-m
11/27/2016,-47.67252025,JPL-m
12/24/2016,-38.03509755,JPL-m
1/21/2017,-50.16976615,JPL-m
3/31/2017,-35.31051756,JPL-m
4/24/2017,-29.53630141,JPL-m
5/12/2017,-20.56786077,JPL-m
6/11/2017,-17.72465726,JPL-m
6/16/2018,-27.39786567,JPL-m
7/10/2018,-27.53181167,JPL-m
10/31/2018,-43.53620029,JPL-m
11/16/2018,-52.77281022,JPL-m
12/16/2018,-49.65355994,JPL-m
1/16/2019,-37.91615128,JPL-m
2/14/2019,-40.90419201,JPL-m
3/16/2019,-22.77890528,JPL-m
4/16/2019,-24.23517566,JPL-m
5/16/2019,-23.91075285,JPL-m
6/16/2019,-20.75529244,JPL-m
4/18/2002,0,CSR-m
5/10/2002,-0.991208351,CSR-m
8/16/2002,1.658618079,CSR-m
9/16/2002,-11.41956446,CSR-m
10/16/2002,-3.555797979,CSR-m
11/16/2002,-7.8677151,CSR-m
12/16/2002,-13.1847845,CSR-m
1/16/2003,-18.31153209,CSR-m
2/15/2003,-6.193708394,CSR-m
3/16/2003,-7.311881787,CSR-m
4/16/2003,-10.93695428,CSR-m
5/11/2003,-9.395953786,CSR-m
7/16/2003,3.437073768,CSR-m
8/16/2003,5.119177262,CSR-m
9/16/2003,-3.460125648,CSR-m
10/16/2003,-1.636307624,CSR-m
11/16/2003,-8.683673439,CSR-m
12/16/2003,-8.388475887,CSR-m
1/7/2004,-10.07181509,CSR-m
2/17/2004,-8.264171701,CSR-m
3/16/2004,-7.530314737,CSR-m
4/16/2004,-4.782829799,CSR-m
5/16/2004,1.106528595,CSR-m
6/16/2004,0.335924046,CSR-m
7/16/2004,0.124983599,CSR-m
8/16/2004,4.171823663,CSR-m
9/16/2004,-9.822772981,CSR-m
10/16/2004,-0.664276523,CSR-m
11/16/2004,-0.373963891,CSR-m
12/16/2004,-5.557881096,CSR-m
1/16/2005,1.332608122,CSR-m
2/15/2005,-0.581287473,CSR-m
3/16/2005,2.797850895,CSR-m
4/16/2005,1.297834307,CSR-m
5/16/2005,2.835710659,CSR-m
6/16/2005,11.25559861,CSR-m
7/16/2005,12.8512466,CSR-m
8/16/2005,17.69990474,CSR-m
9/16/2005,9.663871525,CSR-m
10/16/2005,4.637737784,CSR-m
11/16/2005,2.563180809,CSR-m
12/16/2005,3.633713663,CSR-m
1/16/2006,7.246174471,CSR-m
2/15/2006,3.608246076,CSR-m
3/16/2006,-0.664086495,CSR-m
4/16/2006,5.724224834,CSR-m
5/16/2006,12.74882077,CSR-m
6/16/2006,18.88007301,CSR-m
7/16/2006,22.98495301,CSR-m
8/16/2006,24.49513055,CSR-m
9/16/2006,15.48097073,CSR-m
10/16/2006,10.08586907,CSR-m
11/16/2006,2.306074098,CSR-m
12/16/2006,9.489258086,CSR-m
1/16/2007,7.778744304,CSR-m
2/14/2007,0.029707199,CSR-m
3/16/2007,5.474278693,CSR-m
4/16/2007,7.024456742,CSR-m
5/16/2007,2.273649032,CSR-m
6/16/2007,6.482801798,CSR-m
7/16/2007,11.15409268,CSR-m
8/16/2007,10.18146627,CSR-m
9/16/2007,0.72324167,CSR-m
10/16/2007,-1.567414108,CSR-m
11/16/2007,-0.755884268,CSR-m
12/16/2007,1.800891894,CSR-m
1/16/2008,-9.832435787,CSR-m
2/15/2008,-6.180534354,CSR-m
3/16/2008,4.070460053,CSR-m
4/16/2008,0.525790288,CSR-m
5/16/2008,-5.474199923,CSR-m
6/16/2008,-1.025850227,CSR-m
7/16/2008,7.112786633,CSR-m
8/16/2008,4.85287991,CSR-m
9/16/2008,0.163957657,CSR-m
10/16/2008,-3.277322848,CSR-m
11/16/2008,-7.357796273,CSR-m
12/16/2008,-7.339125702,CSR-m
1/16/2009,-9.622347543,CSR-m
2/15/2009,-6.793451646,CSR-m
3/16/2009,-12.16656983,CSR-m
4/16/2009,-13.43278543,CSR-m
5/16/2009,-8.558510542,CSR-m
6/16/2009,-0.351771029,CSR-m
7/16/2009,3.602560572,CSR-m
8/16/2009,-2.559980646,CSR-m
9/16/2009,-8.27773356,CSR-m
10/16/2009,-8.133576881,CSR-m
11/16/2009,-7.163011977,CSR-m
12/16/2009,-12.7849207,CSR-m
1/16/2010,-8.99739807,CSR-m
2/15/2010,-6.223458182,CSR-m
3/16/2010,-10.68947888,CSR-m
4/16/2010,-3.774515003,CSR-m
5/16/2010,-3.116720649,CSR-m
6/16/2010,3.627937483,CSR-m
7/16/2010,5.139204235,CSR-m
8/16/2010,0.141165934,CSR-m
9/16/2010,0.944254695,CSR-m
10/16/2010,-1.503074146,CSR-m
11/16/2010,2.015807507,CSR-m
12/14/2010,-2.596976503,CSR-m
2/18/2011,-10.88192938,CSR-m
3/16/2011,-1.130827382,CSR-m
4/16/2011,1.167020716,CSR-m
5/16/2011,4.622201616,CSR-m
7/18/2011,18.38246695,CSR-m
8/16/2011,14.51696176,CSR-m
9/16/2011,10.44302878,CSR-m
10/16/2011,3.256886109,CSR-m
10/31/2011,3.085094217,CSR-m
12/28/2011,-0.251635423,CSR-m
1/16/2012,-7.088897838,CSR-m
2/15/2012,2.059653663,CSR-m
3/16/2012,9.070591442,CSR-m
4/4/2012,2.809402297,CSR-m
6/16/2012,4.727348644,CSR-m
7/16/2012,7.436366083,CSR-m
8/16/2012,6.292690871,CSR-m
9/13/2012,4.290196381,CSR-m
11/18/2012,-5.658177713,CSR-m
12/16/2012,-7.128702034,CSR-m
1/16/2013,-10.21765585,CSR-m
2/14/2013,-5.622179298,CSR-m
4/21/2013,-7.127865993,CSR-m
5/16/2013,-11.42820151,CSR-m
6/16/2013,-0.473509256,CSR-m
7/16/2013,3.127272916,CSR-m
10/16/2013,-6.339011436,CSR-m
11/16/2013,-11.47414991,CSR-m
12/16/2013,-13.53073637,CSR-m
1/9/2014,-12.4867066,CSR-m
3/17/2014,-7.366354431,CSR-m
4/16/2014,-9.201922904,CSR-m
5/16/2014,-17.83429818,CSR-m
6/13/2014,-3.044279323,CSR-m
8/16/2014,-9.935393766,CSR-m
9/16/2014,-18.73041387,CSR-m
10/16/2014,-23.13527345,CSR-m
11/16/2014,-14.26914691,CSR-m
1/22/2015,-28.25902447,CSR-m
2/15/2015,-14.84915405,CSR-m
3/16/2015,-14.41343268,CSR-m
4/16/2015,-14.32033278,CSR-m
4/27/2015,-21.04371553,CSR-m
7/15/2015,-11.48999978,CSR-m
8/16/2015,-15.88317171,CSR-m
9/14/2015,-19.85212247,CSR-m
12/23/2015,-33.47114888,CSR-m
1/16/2016,-28.65997099,CSR-m
2/14/2016,-16.66846929,CSR-m
3/16/2016,-34.78537724,CSR-m
5/20/2016,-18.31631799,CSR-m
6/16/2016,-19.28309838,CSR-m
7/15/2016,-17.22751052,CSR-m
8/21/2016,-23.11947925,CSR-m
11/27/2016,-16.56268961,CSR-m
12/24/2016,-22.492998,CSR-m
1/21/2017,-32.12915916,CSR-m
3/31/2017,-18.96061779,CSR-m
4/24/2017,-15.12764632,CSR-m
5/13/2017,-9.437214333,CSR-m
6/10/2017,1.612646086,CSR-m
6/16/2018,0.135863879,CSR-m
7/10/2018,8.353611099,CSR-m
10/31/2018,-16.63622181,CSR-m
11/16/2018,-20.87151648,CSR-m
12/16/2018,-22.21081903,CSR-m
1/16/2019,-23.261852,CSR-m
2/15/2019,-24.62865363,CSR-m
3/16/2019,-9.639696101,CSR-m
4/16/2019,-10.97487307,CSR-m
5/16/2019,-3.245256557,CSR-m
6/16/2019,5.867073607,CSR-m
